3027,scans,0000044,DataLength
"header",0034,"lines"
"Date",05-05-2016,"Time",05:33:10 pm
"ID","HAL 7 EPIC LOW ENERGY  #13339","Version",2
"Scans",2
"Scan ID","Mode","Input","Scanned","Start","Stop","Increment","Dwell","Settle","RS","RelSEM"
"Scan 1","RGA","SEM","mass",4,4,0.01,100,100,1,1,
"Scan 2","RGA","Temperature","mass",4,4,0.01,100,100,1,1,
"Environment",
"Global","RGA"
"1st-dynode",-4000,"V"
"CRV_range",7,"c/s"
"CRV_resolution",6,"bits"
"F1",1,"( 1 = on, 0 = off )"
"F2",0,"( 1 = on, 0 = off )"
"cage",3.0,"V"
"channel_1",0.00,"V"
"channel_2",0.00,"V"
"channel_3",0.00,"V"
"channel_4",0.00,"V"
"delta-m",0,"%"
"discriminator",-10,"%"
"electron-energy",70.0,"V"
"emission",180.000,"uA"
"energy",-1.00,"V"
"focus",-200,"V"
"gate_delay",0.1,"uS"
"gate_width",0.0,"uS"
"gating",0,"( 1 = on, 0 = off )"
"gating_invert",0,"( 0 = normal, 1 = invert)"
"mass",4.00,"amu"
"mode-change-delay",1000,"ms"
"multiplier",2600,"V"
"resolution",0,"%"
"Data",2
"Time","ms","Scan 1 : mass 4.00","Scan 2 : mass 4.00",
00:00:42, 42940,        8910,     318.325,
00:00:43, 43263,        8820,     318.277,
00:00:43, 43585,        8620,     317.955,
00:00:43, 43908,        8810,     317.987,
00:00:44, 44231,        8430,       318.1,
00:00:44, 44553,        8800,     318.035,
00:00:44, 44876,        8300,     317.939,
00:00:45, 45199,        8980,     318.116,
00:00:45, 45522,        8550,     318.164,
00:00:45, 45844,        8470,     318.019,
00:00:46, 46167,        8510,     318.084,
00:00:46, 46490,        9280,     318.116,
00:00:46, 46812,        8750,     318.084,
00:00:47, 47135,        8600,     318.148,
00:00:47, 47458,        8350,     318.277,
00:00:47, 47780,        9390,     318.196,
00:00:48, 48103,        8730,     317.987,
00:00:48, 48426,        8470,     318.148,
00:00:48, 48749,        9100,      318.39,
00:00:49, 49072,        9090,     318.068,
00:00:49, 49394,        8870,     318.245,
00:00:49, 49717,        8800,     318.277,
00:00:50, 50040,        9250,     318.229,
00:00:50, 50362,        8630,     318.245,
00:00:50, 50685,        8510,     318.196,
00:00:51, 51008,        8650,     318.245,
00:00:51, 51330,        8960,     318.229,
00:00:51, 51653,        8110,     317.923,
00:00:51, 51976,        8550,     317.971,
00:00:52, 52298,        8400,     318.148,
00:00:52, 52622,        7910,     318.212,
00:00:52, 52944,        8690,     318.019,
00:00:53, 53267,        9380,     318.068,
00:00:53, 53590,        9020,     318.132,
00:00:53, 53912,        8920,     317.955,
00:00:54, 54235,        8860,     317.971,
00:00:54, 54558,        9340,     317.987,
00:00:54, 54880,        8820,     318.132,
00:00:55, 55203,        8480,     318.019,
00:00:55, 55526,        8540,     318.261,
00:00:55, 55848,        8830,     318.148,
