kalibreringskkurve;
;
;
TC;pyrometer
350;321.3
380;322.0
410;322.8
440;323.2
470;323.5
500;324.5
530;326.6
560;331.0
590;339.7
620;353.7
650;371.2
680;394.7
710;417.7
740;443.9
770;468.7
800;492.7
830;516.2
860;539.0
890;563.6
