2506,scans,0000044,DataLength
"header",0034,"lines"
"Date",29-05-2016,"Time",10:52:44 pm
"ID","HAL 7 EPIC LOW ENERGY  #13339","Version",2
"Scans",2
"Scan ID","Mode","Input","Scanned","Start","Stop","Increment","Dwell","Settle","RS","RelSEM"
"Scan 1","RGA","SEM","mass",4,4,0.01,100,100,1,1,
"Scan 2","RGA","Temperature","mass",4,4,0.01,100,100,1,1,
"Environment",
"Global","RGA"
"1st-dynode",-4000,"V"
"CRV_range",7,"c/s"
"CRV_resolution",6,"bits"
"F1",1,"( 1 = on, 0 = off )"
"F2",0,"( 1 = on, 0 = off )"
"cage",3.0,"V"
"channel_1",0.00,"V"
"channel_2",0.00,"V"
"channel_3",0.00,"V"
"channel_4",0.00,"V"
"delta-m",0,"%"
"discriminator",-10,"%"
"electron-energy",70.0,"V"
"emission",180.000,"uA"
"energy",-1.00,"V"
"focus",-200,"V"
"gate_delay",0.1,"uS"
"gate_width",0.0,"uS"
"gating",0,"( 1 = on, 0 = off )"
"gating_invert",0,"( 0 = normal, 1 = invert)"
"mass",4.00,"amu"
"mode-change-delay",1000,"ms"
"multiplier",2600,"V"
"resolution",0,"%"
"Data",2
"Time","ms","Scan 1 : mass 4.00","Scan 2 : mass 4.00",
00:00:42, 42941,        1640,     326.602,
00:00:43, 43264,        1880,     326.763,
00:00:43, 43586,        1610,     326.554,
00:00:43, 43909,        1600,     326.538,
00:00:44, 44232,        1770,     326.699,
00:00:44, 44554,        1700,     326.828,
00:00:44, 44877,        1660,     326.747,
00:00:45, 45200,        1530,     326.828,
00:00:45, 45523,        1510,     326.683,
00:00:45, 45845,        1490,     326.634,
00:00:46, 46168,        1630,     326.602,
00:00:46, 46491,        1820,     326.779,
00:00:46, 46814,        1850,     326.634,
00:00:47, 47136,        1730,     326.586,
00:00:47, 47459,        1850,     326.618,
00:00:47, 47782,        1630,     326.602,
00:00:48, 48104,        1730,     326.457,
00:00:48, 48427,        1600,      326.49,
00:00:48, 48750,        1340,     326.651,
00:00:49, 49073,        1550,     326.747,
00:00:49, 49395,        1580,     326.683,
00:00:49, 49718,        1750,     326.667,
00:00:50, 50041,        1790,     326.828,
00:00:50, 50364,        1790,     327.021,
00:00:50, 50686,        1590,     326.699,
00:00:51, 51009,        1640,     326.715,
00:00:51, 51332,        1670,     326.586,
00:00:51, 51654,        1740,     326.409,
00:00:51, 51977,        1650,     326.554,
00:00:52, 52300,        1820,     326.441,
00:00:52, 52623,        1750,     326.554,
00:00:52, 52945,        1710,     326.409,
00:00:53, 53268,        1930,     326.312,
00:00:53, 53591,        1740,     326.506,
00:00:53, 53914,        1560,     326.667,
00:00:54, 54236,        1680,     326.538,
00:00:54, 54559,        1810,     326.634,
00:00:54, 54882,        1600,     326.506,
00:00:55, 55204,        1410,     326.618,
00:00:55, 55527,        1490,     326.473,
00:00:55, 55850,        1810,     326.554,
00:00:56, 56172,        1430,     326.425,
00:00:56, 56495,        1710,     326.473,
00:00:56, 56818,        1740,     326.538,
00:00:57, 57141,        1680,     326.473,
00:00:57, 57464,        1690,     326.328,
00:00:57, 57786,        1660,      326.49,
00:00:58, 58109,        1580,     326.506,
00:00:58, 58432,        1650,     326.457,
00:00:58, 58755,        1720,     326.393,
00:00:59, 59077,        1570,     326.409,
00:00:59, 59400,        1790,      326.49,
00:00:59, 59723,        1730,      326.49,
00:01:00, 60045,        1830,     326.393,
00:01:00, 60368,        1660,     326.554,
00:01:00, 60691,        1490,     326.393,
00:01:01, 61014,        1710,     326.634,
00:01:01, 61336,        1810,     326.522,
00:01:01, 61659,        2190,      326.57,
00:01:01, 61982,        2050,     326.554,
00:01:02, 62305,        2170,     326.393,
00:01:02, 62627,        2560,     326.393,
00:01:02, 62950,        3390,     326.506,
00:01:03, 63273,        3380,      326.57,
00:01:03, 63595,        3620,     326.457,
00:01:03, 63918,        3780,     326.715,
00:01:04, 64241,        3600,     326.506,
